"","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","Twitter_volume_AAPL",0.01,0.01,0.01,0,NA,0.01,0,0.01,0.01,0.02,0,0.01,0.01,0
"2","Twitter_volume_AMZN",0.01,0.04,0.03,0,0,0.03,0,0.01,0.04,0.03,0,0.01,0.03,0
"3","Twitter_volume_CRM",0.01,0.02,NA,0.01,NA,0.01,0,0.01,0.02,NA,0.01,0.01,0.01,0
"4","Twitter_volume_CVS",0,0,0.01,0,0.01,0,0,0,0,0.01,0,0.02,0,0
"5","Twitter_volume_FB",0,0.01,0.01,0,NA,0.01,0,0,0.01,0.01,0,0.01,0.01,0
"6","Twitter_volume_GOOG",0.01,0.02,0.02,0,NA,0.01,0,0.01,0.02,0.02,0,0.01,0.01,0
"7","Twitter_volume_IBM",0,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0,0,0.01,0
"8","Twitter_volume_KO",0.01,0.01,0.02,0,0,0.01,0,0.01,0.01,0.02,0,0.01,0.01,0
"9","Twitter_volume_PFE",0,0.02,0.01,0,0,0.01,0,0,0.02,0.01,0.01,0.01,0.01,0
"10","Twitter_volume_UPS",0.02,0.01,0.02,0,NA,0.01,0,0.02,0.01,0.02,0,0.01,0.01,0
